offer_number	tpnb	Item_description	offer_start_date	offer_end_date	store	format_name	meta_store_id	sg_cd	forecast	capacity
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4117	1K	2	A12AD	81.72085341	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	1054	HM	101	C00AB	3.51252	4
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1031	HM	1	C00AA	4.792363758	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4152	1K	2	C00AB	2.2449468	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4150	EX	2	C00AB	0.88152756	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1131	HM	1	L3CAA		0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4030	1K	2	A12AD	226.3131489	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4044	1K	2	A12AD	128.9806232	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1053	HM	1	L3CAA		0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4012	1K	2	A11CA	1275.75543	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1018	HM	1	C39AA	0.891999108	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1033	HM	101	C32BC	0.817343625	7
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1009	HM	1	A12AD	926.3513126	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4149	1K	2	C00AB	3.30096048	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4150	EX	2	A11CA	1122.446336	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4004	1K	2	A11CA	1192.10807	0
S5722437	220278296	REXONA DEO ULTIMATE FRES 150ml	25.8.21	7.9.21	1009	HM	1	C39AB	1.605057792	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4143	1K	2	C00AB	2.13408275	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1021	HM	1	L3CAA		0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4155	1K	2	C00AB	1.712547628	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4148	1K	2	A11CA	1091.811157	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4147	EX	2	C00AB	1.183249992	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1043	HM	1	C00AA	6.546413913	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1014	HM	1	L3CAA		0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4010	1K	2	A11CA	1453.705864	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1018	HM	1	A12AD	397.9815447	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4151	1K	2	C00AB	3.9842357	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1002	HM	1	C00AA	12.59409142	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1017	HM	1	C39AA	0.882999117	0
