offer_number	tpnb	Item_description	offer_start_date	offer_end_date	store	format_name	meta_store_id	sg_cd	forecast	capacity
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1024	HM	1	C39AA	0.891999108	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4132	1K	2	A12AD	86.76178866	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	4001	HM	2	C39AA	0.889	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4036	1K	2	C00AB	3.19236655	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1132	HM	101	C32BC	0.873852	7
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4030	1K	2	C00AB	2.655060252	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1034	HM	1	C00AA	9.60976926	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1010	HM	1	A12AD	657.5495452	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1002	HM	1	C39AA	0.877999122	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4116	1K	2	A11CA	1514.043848	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4114	1K	2	A11CA	2746.77683	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4047	1K	2	A11CA	1931.614663	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4045	EX	2	A11CA	1370.324897	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1046	HM	1	C00AA	7.730048001	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1034	HM	101	C32BC	1.91083025	7
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1038	HM	101	C32BC	1.328204158	7
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1046	HM	1	C39AA	0.891999108	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4029	EX	2	C00AB	1.42199328	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1038	HM	1	L3CAA		0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1005	HM	1	C00AA	11.46879478	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1029	HM	1	A11CA	2202.175344	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1121	HM	1	C00AA	7.198941672	0
S5722437	220278296	REXONA DEO ULTIMATE FRES 150ml	25.8.21	7.9.21	1008	HM	1	C39AB	1.947639304	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4028	1K	2	C00AB	1.437678532	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4026	EX	2	C00AB	0.855000528	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1028	HM	1	A12AD	385.2773689	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1017	HM	1	C00AA	11.0137998	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4033	EX	2	C00AB	1.580614104	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	4162	HM	2	C32BC	1.141619904	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4032	1K	2	C00AB	1.043443972	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1019	HM	1	A12AD	884.830348	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1111	HM	1	C39AA	0.891999108	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1012	HM	1	A61CB	7.6244328	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1001	HM	1	C39AA	0.877999122	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4122	1K	2	A11CA	2559.36945	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1051	HM	1	A12AD	387.4463745	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4024	EX	2	C00AB	1.6105698	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1005	HM	101	C32BC	2.905355505	7
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4025	EX	2	C00AB	1.337539872	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1023	HM	1	C39AA	0.891999108	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1031	HM	1	L3CAA		0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1001	HM	101	C32BC	2.636126792	7
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4118	1K	2	A11CA	1498.992651	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4020	EX	2	C00AB	1.38319524	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1033	HM	1	A11CA	1483.383074	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4118	1K	2	A12AD	80.07794128	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4022	EX	2	C00AB	1.509333984	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1046	HM	101	C32BC	1.546782518	7
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1132	HM	1	C39AA	0.884999115	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1037	HM	1	A61CB	7.956232128	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1024	HM	1	L3CAA		0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1037	HM	1	A11CA	2883.03524	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1045	HM	1	C39AA	0.884999115	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1102	HM	1	L3CAA		0
S5722437	220278296	REXONA DEO ULTIMATE FRES 150ml	25.8.21	7.9.21	1017	HM	1	C39AB	1.474913752	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1008	HM	1	A61CB	9.464313271	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4141	1K	2	A12AD	137.0188713	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1035	HM	1	A11CA	1017.531567	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4040	1K	2	A12AD	74.23558548	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1044	HM	1	C39AA	0.884999115	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1031	HM	1	A11CA	1659.934677	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4021	1K	2	C00AB	3.74713588	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1022	HM	1	C39AA	0.861999138	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1005	HM	1	A12AD	929.8217216	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1029	HM	1	C00AA	6.479104086	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1054	HM	101	C32BC	1.354204036	7
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4017	1K	2	C00AB	1.665093468	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	2001	DS	1	A11CA	2829.545348	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4057	EX	2	A11CA	2515.68102	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1043	HM	1	C39AA	0.891999108	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1056	HM	1	L3CAA		0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1012	HM	1	C00AA	5.779013643	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1003	HM	1	L3CAA		0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1010	HM	1	L3CAA		0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1043	HM	1	A11CA	1630.218071	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1050	HM	101	C32BC	1.037194344	7
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1017	HM	1	L3CAA		0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4061	EX	2	A11CA	925.848402	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1004	HM	1	A61CB	13.7108015	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1111	HM	101	C32BC	1.181338312	7
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1102	HM	1	A11CA	3819.283147	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1037	HM	1	A12AD	529.7641287	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1054	HM	1	A61CB	4.971829248	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1009	HM	101	C32BC	1.220402607	7
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1131	HM	1	C39AA	0.891999108	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1041	HM	1	C00AA	7.753162131	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4016	EX	2	C00AB	1.250920992	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	2001	DS	1	C00AB	2.595	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4132	1K	2	A11CA	1486.205793	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4018	EX	2	C00AB	0.82017252	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4035	1K	2	A12AD	228.5330838	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4065	EX	2	A11CA	625.6236432	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1024	HM	1	C00AA	5.98562679	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1046	HM	1	A12AD	745.2083579	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4159	1K	2	A12AD	177.4024528	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4104	1K	2	A12AD	121.2950001	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4162	HM	102	C00AB	2.090898866	4
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1049	HM	1	L3CAA		0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1111	HM	1	C00AA	5.197736622	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4017	1K	2	A12AD	110.7563199	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1014	HM	1	A12AD	911.3232023	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1101	HM	1	A12AD	680.7269195	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1021	HM	101	C32BC	1.685328024	7
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1021	HM	1	C39AA	0.882999117	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4015	EX	2	C00AB	1.88937432	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1047	HM	1	A11CA	3537.150189	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4058	1K	2	A12AD	173.2991796	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4014	1K	2	C00AB	2.0262263	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1112	HM	1	A11CA	2051.145062	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1053	HM	1	C00AA	4.584783255	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4157	1K	2	C00AB	1.59153952	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4010	1K	2	C00AB	4.13578784	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1023	HM	1	A12AD	357.2042391	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1041	HM	1	A11CA	2113.375132	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1020	HM	1	C39AA	0.891999108	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4013	1K	2	C00AB	2.83468875	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4128	EX	2	A11CA	1029.475226	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1007	HM	1	C00AA	6.12458028	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4113	1K	2	A12AD	63.15193928	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1017	HM	101	C32BC	1.633599776	7
S5722437	220278296	REXONA DEO ULTIMATE FRES 150ml	25.8.21	7.9.21	1004	HM	1	C39AB	2.978285492	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4002	1K	2	A11CA	3349.890276	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1039	HM	1	A11CA	2367.539519	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1013	HM	101	C32BC	1.611958652	7
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1045	HM	1	A11CA	1910.602993	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4006	1K	2	C00AB	3.4329694	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1036	HM	1	C00AA	5.442979113	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4012	1K	2	C00AB	3.375450904	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4067	1K	2	A12AD	117.8809486	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4067	1K	2	A11CA	2131.942098	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4005	1K	2	C00AB	4.43372976	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1032	HM	1	A12AD	384.8435678	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4007	EX	2	C00AB	0.928265664	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4012	1K	2	A12AD	71.95153691	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4069	EX	2	A11CA	939.1680452	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4145	1K	2	A12AD	138.2210021	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4160	1K	2	C00AB	2.1958467	0
S5722437	220278296	REXONA DEO ULTIMATE FRES 150ml	25.8.21	7.9.21	1013	HM	1	C39AB	1.751363328	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1025	HM	101	C32BC	1.504948656	7
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4161	1K	2	C00AB	1.755986436	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1053	HM	1	A11CA	1619.90466	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4004	1K	2	C00AB	3.70731196	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4122	1K	2	A12AD	117.937048	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4154	EX	2	C00AB	1.014343176	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1035	HM	1	L3CAA		0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1049	HM	1	A11CA	2452.84366	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1051	HM	1	A11CA	3110.105074	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1041	HM	1	C39AA	0.882999117	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4011	1K	2	C00AB	3.21080355	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1122	HM	1	A11CA	894.2950516	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1028	HM	1	L3CAA		0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4159	1K	2	C00AB	1.674036752	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1019	HM	1	C39AA	0.862999137	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4148	1K	2	C00AB	1.16992756	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4002	1K	2	C00AB	2.66635894	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4158	1K	2	C00AB	1.94602535	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4144	1K	2	A11CA	1521.636044	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1029	HM	101	C32BC	0.9373	7
S5722437	220278296	REXONA DEO ULTIMATE FRES 150ml	25.8.21	7.9.21	1022	HM	1	C39AB	1.876153344	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4021	1K	2	A12AD	259.7484142	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1019	HM	1	C00AA	5.741508825	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4001	HM	102	C00AB	4.152861755	4
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1048	HM	1	C00AA	4.714951956	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1041	HM	1	A12AD	263.8440402	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4142	1K	2	A11CA	2009.268184	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	1056	HM	101	C00AB	4.92719436	4
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4006	1K	2	A11CA	2045.497613	0
